epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
160,821.824,0.88212,1.59283,1.25951,0.71602,0.65672,0.7045,0.35183,2.01488,4.74654,2.48476,0.00021295,0.00021295,0.00021295
161,826.872,0.88178,1.59165,1.25408,0.72386,0.6607,0.71198,0.3602,1.96959,4.47063,2.44142,0.000208,0.000208,0.000208
162,831.902,0.86624,1.55755,1.2504,0.68196,0.66072,0.68755,0.35212,2.02802,4.65001,2.49509,0.00020305,0.00020305,0.00020305
163,836.955,0.87229,1.54756,1.24725,0.71148,0.67044,0.70426,0.35827,1.97898,4.27813,2.47128,0.0001981,0.0001981,0.0001981
164,841.981,0.85999,1.5387,1.24951,0.70202,0.66088,0.698,0.35673,2.02686,4.69275,2.48,0.00019315,0.00019315,0.00019315
165,847.026,0.8608,1.54686,1.24478,0.68266,0.64677,0.68495,0.35234,2.02559,4.80647,2.50065,0.0001882,0.0001882,0.0001882
166,852.06,0.85928,1.53983,1.24622,0.67984,0.62198,0.67327,0.34858,2.06079,5.05887,2.52721,0.00018325,0.00018325,0.00018325
167,857.109,0.86046,1.52166,1.24114,0.68772,0.66738,0.6962,0.35308,2.0062,4.47783,2.47901,0.0001783,0.0001783,0.0001783
168,862.117,0.85387,1.50541,1.24414,0.73718,0.65262,0.71173,0.36332,1.98512,4.47659,2.4488,0.00017335,0.00017335,0.00017335
169,867.134,0.84469,1.51287,1.23518,0.71749,0.66763,0.70774,0.35384,1.98368,4.42103,2.45573,0.0001684,0.0001684,0.0001684
170,872.187,0.85766,1.53176,1.2398,0.72253,0.64334,0.69361,0.33742,2.07472,4.86477,2.53857,0.00016345,0.00016345,0.00016345
171,877.236,0.82496,1.47319,1.22101,0.70673,0.65534,0.69872,0.34621,2.05188,4.64476,2.53526,0.0001585,0.0001585,0.0001585
172,882.252,0.85198,1.51285,1.23339,0.74017,0.67109,0.71821,0.35958,2.00282,4.58016,2.48554,0.00015355,0.00015355,0.00015355
173,887.335,0.84121,1.50173,1.23586,0.68723,0.66947,0.69831,0.35397,2.01433,4.79764,2.48636,0.0001486,0.0001486,0.0001486
174,892.365,0.83662,1.49737,1.23438,0.69094,0.64492,0.6816,0.3497,2.03153,4.5959,2.50442,0.00014365,0.00014365,0.00014365
175,897.434,0.82778,1.48415,1.2265,0.72924,0.6459,0.69346,0.35633,2.01772,4.61252,2.51654,0.0001387,0.0001387,0.0001387
176,902.469,0.83516,1.48389,1.23353,0.68982,0.66668,0.70066,0.35801,2.01091,4.75653,2.49409,0.00013375,0.00013375,0.00013375
177,907.537,0.81943,1.44903,1.21533,0.6847,0.68813,0.71191,0.36679,1.95264,4.44758,2.43124,0.0001288,0.0001288,0.0001288
178,912.843,0.8343,1.48467,1.23037,0.67397,0.67737,0.697,0.36427,1.97346,4.57651,2.43259,0.00012385,0.00012385,0.00012385
179,917.874,0.83048,1.46719,1.22906,0.71207,0.66727,0.70446,0.36637,2.00089,4.64467,2.48427,0.0001189,0.0001189,0.0001189
180,923.168,0.82055,1.46888,1.22236,0.67045,0.67121,0.68893,0.34591,2.05244,4.7484,2.54376,0.00011395,0.00011395,0.00011395
